atc_3|atc_3_desc
C02K|OTHER ANTIHYPERTENSIVES
C02L|ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02N|COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02
C03A|LOW-CEILING DIURETICS, THIAZIDES
C03B|LOW-CEILING DIURETICS, EXCL. THIAZIDES
C03C|HIGH-CEILING DIURETICS
C03D|POTASSIUM-SPARING AGENTS
C03E|DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C03X|OTHER DIURETICS
C04A|PERIPHERAL VASODILATORS
C05A|AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05B|ANTIVARICOSE THERAPY
C05C|CAPILLARY STABILIZING AGENTS
C07A|BETA BLOCKING AGENTS
C07B|BETA BLOCKING AGENTS AND THIAZIDES
C07C|BETA BLOCKING AGENTS AND OTHER DIURETICS
C07D|BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS
C07E|BETA BLOCKING AGENTS AND VASODILATORS
C07F|BETA BLOCKING AGENTS, OTHER COMBINATIONS
C08C|SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08D|SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C08E|NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08G|CALCIUM CHANNEL BLOCKERS AND DIURETICS
C09A|ACE INHIBITORS, PLAIN
C09B|ACE INHIBITORS, COMBINATIONS
C09C|ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN
C09D|ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS
C09X|OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C10A|LIPID MODIFYING AGENTS, PLAIN
C10B|LIPID MODIFYING AGENTS, COMBINATIONS
D01A|ANTIFUNGALS FOR TOPICAL USE
D01B|ANTIFUNGALS FOR SYSTEMIC USE
D02A|EMOLLIENTS AND PROTECTIVES
D02B|PROTECTIVES AGAINST UV-RADIATION
D03A|CICATRIZANTS
D03B|ENZYMES
D04A|ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D05A|ANTIPSORIATICS FOR TOPICAL USE
D05B|ANTIPSORIATICS FOR SYSTEMIC USE
D06A|ANTIBIOTICS FOR TOPICAL USE
D06B|CHEMOTHERAPEUTICS FOR TOPICAL USE
D06C|ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS
D07A|CORTICOSTEROIDS, PLAIN
D07B|CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS
D07C|CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS
D07X|CORTICOSTEROIDS, OTHER COMBINATIONS
D08A|ANTISEPTICS AND DISINFECTANTS
D09A|MEDICATED DRESSINGS
D10A|ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10B|ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
D11A|OTHER DERMATOLOGICAL PREPARATIONS
G01A|ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
G01B|ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS
G02A|UTEROTONICS
G02B|CONTRACEPTIVES FOR TOPICAL USE
G02C|OTHER GYNECOLOGICALS
G03A|HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03B|ANDROGENS
G03C|ESTROGENS
G03D|PROGESTOGENS
G03E|ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION
G03F|PROGESTOGENS AND ESTROGENS IN COMBINATION
G03G|GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03H|ANTIANDROGENS
G03X|OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G04B|UROLOGICALS
G04C|DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
H01A|ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01B|POSTERIOR PITUITARY LOBE HORMONES
H01C|HYPOTHALAMIC HORMONES
H02A|CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN
H02B|CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS
H02C|ANTIADRENAL PREPARATIONS
H03A|THYROID PREPARATIONS
H03B|ANTITHYROID PREPARATIONS
H03C|IODINE THERAPY
H04A|GLYCOGENOLYTIC HORMONES
H05A|PARATHYROID HORMONES AND ANALOGUES
H05B|ANTI-PARATHYROID AGENTS
J01A|TETRACYCLINES
J01B|AMPHENICOLS
J01C|BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01D|OTHER BETA-LACTAM ANTIBACTERIALS
J01E|SULFONAMIDES AND TRIMETHOPRIM
J01F|MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS
J01G|AMINOGLYCOSIDE ANTIBACTERIALS
J01M|QUINOLONE ANTIBACTERIALS
J01R|COMBINATIONS OF ANTIBACTERIALS
J01X|OTHER ANTIBACTERIALS
J02A|ANTIMYCOTICS FOR SYSTEMIC USE
J04A|DRUGS FOR TREATMENT OF TUBERCULOSIS
J04B|DRUGS FOR TREATMENT OF LEPRA
J05A|DIRECT ACTING ANTIVIRALS
J06A|IMMUNE SERA
J06B|IMMUNOGLOBULINS
J07A|BACTERIAL VACCINES
J07B|VIRAL VACCINES
J07C|BACTERIAL AND VIRAL VACCINES, COMBINED
J07X|OTHER VACCINES
L01A|ALKYLATING AGENTS
L01B|ANTIMETABOLITES
L01C|PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01D|CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01X|OTHER ANTINEOPLASTIC AGENTS
L02A|HORMONES AND RELATED AGENTS
L02B|HORMONE ANTAGONISTS AND RELATED AGENTS
L03A|IMMUNOSTIMULANTS
L04A|IMMUNOSUPPRESSANTS
M01A|ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS
M01B|ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION
M01C|SPECIFIC ANTIRHEUMATIC AGENTS
M02A|TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M03A|MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS
M03B|MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS
M03C|MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS
M04A|ANTIGOUT PREPARATIONS
M05B|DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M09A|OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
N01A|ANESTHETICS, GENERAL
N01B|ANESTHETICS, LOCAL
N02A|OPIOIDS
N02B|OTHER ANALGESICS AND ANTIPYRETICS
N02C|ANTIMIGRAINE PREPARATIONS
N03A|ANTIEPILEPTICS
N04A|ANTICHOLINERGIC AGENTS
N04B|DOPAMINERGIC AGENTS
N05A|ANTIPSYCHOTICS
N05B|ANXIOLYTICS
N05C|HYPNOTICS AND SEDATIVES
N06A|ANTIDEPRESSANTS
N06B|PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS
N06C|PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION
N06D|ANTI-DEMENTIA DRUGS
N07A|PARASYMPATHOMIMETICS
N07B|DRUGS USED IN ADDICTIVE DISORDERS
N07C|ANTIVERTIGO PREPARATIONS
N07X|OTHER NERVOUS SYSTEM DRUGS
P01A|AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01B|ANTIMALARIALS
P01C|AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
P02B|ANTITREMATODALS
P02C|ANTINEMATODAL AGENTS
P02D|ANTICESTODALS
P03A|ECTOPARASITICIDES, INCL. SCABICIDES
P03B|INSECTICIDES AND REPELLENTS
R01A|DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01B|NASAL DECONGESTANTS FOR SYSTEMIC USE
R02A|THROAT PREPARATIONS
R03A|ADRENERGICS, INHALANTS
R03B|OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS
R03C|ADRENERGICS FOR SYSTEMIC USE
R03D|OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R05C|EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS
R05D|COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS
R05F|COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS
R05X|OTHER COLD PREPARATIONS
R06A|ANTIHISTAMINES FOR SYSTEMIC USE
R07A|OTHER RESPIRATORY SYSTEM PRODUCTS
S01A|ANTIINFECTIVES
S01B|ANTIINFLAMMATORY AGENTS
S01C|ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S01E|ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01F|MYDRIATICS AND CYCLOPLEGICS
S01G|DECONGESTANTS AND ANTIALLERGICS
S01H|LOCAL ANESTHETICS
S01J|DIAGNOSTIC AGENTS
S01K|SURGICAL AIDS
S01L|OCULAR VASCULAR DISORDER AGENTS
S01X|OTHER OPHTHALMOLOGICALS
S02A|ANTIINFECTIVES
S02B|CORTICOSTEROIDS
S02C|CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
S02D|OTHER OTOLOGICALS
S03A|ANTIINFECTIVES
S03B|CORTICOSTEROIDS
S03C|CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
S03D|OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS
V01A|ALLERGENS
V03A|ALL OTHER THERAPEUTIC PRODUCTS
V04B|URINE TESTS
V04C|OTHER DIAGNOSTIC AGENTS
V06A|DIET FORMULATIONS FOR TREATMENT OF OBESITY
V06B|PROTEIN SUPPLEMENTS
V06C|INFANT FORMULAS
V06D|OTHER NUTRIENTS
V07A|ALL OTHER NON-THERAPEUTIC PRODUCTS
V08A|X-RAY CONTRAST MEDIA, IODINATED
V08B|X-RAY CONTRAST MEDIA, NON-IODINATED
V08C|MAGNETIC RESONANCE IMAGING CONTRAST MEDIA
V08D|ULTRASOUND CONTRAST MEDIA
V09A|CENTRAL NERVOUS SYSTEM
V09B|SKELETON
V09C|RENAL SYSTEM
V09D|HEPATIC AND RETICULO ENDOTHELIAL SYSTEM
V09E|RESPIRATORY SYSTEM
V09F|THYROID
V09G|CARDIOVASCULAR SYSTEM
V09H|INFLAMMATION AND INFECTION DETECTION
V09I|TUMOUR DETECTION
V09X|OTHER DIAGNOSTIC RADIOPHARMACEUTICALS
V10A|ANTIINFLAMMATORY AGENTS
V10B|PAIN PALLIATION (BONE SEEKING AGENTS)
V10X|OTHER THERAPEUTIC RADIOPHARMACEUTICALS
